Time,vehicle_local_positionax,vehicle_local_positionay,vehicle_local_positionaz,timestamp_ms,vehicle_local_positiontimestamp_sample,vehicle_local_positionvx,vehicle_local_positionvy,vehicle_local_positionvz,vehicle_local_positionx,vehicle_local_positiony,vehicle_local_positionz,vehicle_local_position_setpointacceleration00,vehicle_local_position_setpointacceleration01,vehicle_local_position_setpointacceleration02,vehicle_local_position_setpointvx,vehicle_local_position_setpointvy,vehicle_local_position_setpointvz,vehicle_local_position_setpointx,vehicle_local_position_setpointy,vehicle_local_position_setpointz
3.6 sec,0.0171853333333333,2.63436975,0.0628020833333333,313628,313628000,-0.109512875,2.15611291666667,0.0346835833333333,13.971794,1.52567870833333,-5.10126058333333,-0.00458870833333333,3.749253875,0.192696583333333,-0.11015725,2.75871658333333,0.0938160416666667,13.9396665416667,1.78593758333333,-5.04537079166667
3.7 sec,0.0404523846153846,2.60943023076923,0.0315769230769231,313728,313728000,-0.107677153846154,2.41639192307692,0.0389266923076923,13.9609109230769,1.75103946153846,-5.09942715384615,0.00244938461538462,3.80553123076923,0.188970076923077,-0.104652923076923,3.03600584615385,0.0945788461538462,13.9326587692308,2.02195915384615,-5.04202715384615
3.8 sec,0.0217762083333333,2.560686625,0.018100375,313828,313828000,-0.106453,2.67219479166667,0.0414677083333333,13.949025,1.99991825,-5.09792904166667,0.01611425,3.870518375,0.192304875,-0.097921,3.3108705,0.0955537083333333,13.9258344166667,2.279897,-5.038760375
3.9 sec,0.0323856153846154,2.50932946153846,-0.00417207692307692,313928,313928000,-0.105659538461538,2.92401923076923,0.0416688461538462,13.9366257692308,2.27492123076923,-5.09635915384615,0.0297945384615385,3.93834323076923,0.203931846153846,-0.0904071538461539,3.584103,0.0963252307692308,13.9191943846154,2.56233353846154,-5.035571
4 sec,0.0442394615384615,2.49874530769231,0.0311218461538462,314028,314028000,-0.102827384615385,3.17297011538462,0.0435448461538462,13.9247036153846,2.57598903846154,-5.09410234615385,0.0367133076923077,3.9413365,0.205085461538462,-0.0828315,3.82040565384615,0.0961545769230769,13.9131184230769,2.84877253846154,-5.03264080769231
4.1 sec,0.06799275,2.4643295,0.040976,314128,314128000,-0.09734,3.4195915,0.0447545,13.91354825,2.90233075,-5.09145375,0.03576925,4.0147595,0.20716775,-0.0760625,4.11127225,0.09567175,13.90660475,3.1902395,-5.02948625
4.2 sec,0.095891375,2.37897720833333,0.0683045833333333,314228,314228000,-0.0914955,3.660113625,0.0462125833333333,13.901733375,3.251882875,-5.090009125,0.0412054166666667,3.81983833333333,0.212142541666667,-0.0682792083333333,4.37732108333333,0.09621225,13.900417875,3.549071375,-5.026475625
4.3 sec,0.0711712307692308,2.16408315384615,0.176439615384615,314328,314328000,-0.0865445384615385,3.88548146153846,0.0590437692307692,13.8898255384615,3.62500330769231,-5.08809484615385,0.0511853846153846,3.51937115384615,0.168403230769231,-0.0600020769230769,4.60207515384615,0.0960929230769231,13.8945644615385,3.92430469230769,-5.02361384615385
4.4 sec,0.0524722916666667,1.912411625,0.142980458333333,314428,314428000,-0.0819669583333333,4.08876979166667,0.0752708333333333,13.8788002916667,4.01983420833333,-5.0838305,0.0605733333333333,3.21214716666667,0.0983152916666667,-0.052237375,4.79270991666667,0.0934764166666667,13.888929625,4.31732191666667,-5.02084575
4.5 sec,0.0816803846153846,1.57055907692308,0.093024,314528,314528000,-0.0767060769230769,4.260155,0.0871334615384615,13.8688141538462,4.43543284615385,-5.07742607692308,0.0644711538461538,2.91512876923077,0.0328087692307692,-0.0450995384615385,4.94923584615385,0.0885633076923077,13.8835147692308,4.72910515384615,-5.01816930769231
4.6 sec,0.0754775416666667,1.21682875,0.0160545,314628,314628000,-0.0702682083333333,4.398611125,0.0921358333333333,13.859688125,4.86729591666667,-5.070564125,0.0663921666666667,2.62259841666667,-0.0105155416666667,-0.03842175,5.07251258333333,0.0830337916666667,13.8783339583333,5.15428708333333,-5.015590625
